B: 	ah daar zijn er maar één van toch 
B: 	ja dan zijn het J 
A: 	oké deze vinden ik ook een heel raar ding 
A: 	ik hebben uiteindelijk zeggen dat die een soort feesthoed hebben 
A: 	en het lijken alsof er een soort potlood in dat ding steken een soort afsneden potlood 
A: 	ja precies en dan een soort van cirkel nog daaronder 
A: 	waar die op staat en een ja heel soort heel raar figuur die er dan ook midden eruit steken 
A: 	ja ja precies 
B: 	hum dit zijn die piramide op dat hoofd 
A: 	ja precies 
A: 	precies 
A: 	dat zijn zes 
B: 	ok dat zijn E 
B: 	dit zijn met de piramide bovenop 
A: 	dan zijn het een ander plek 
A: 	dit zijn die met het soort van ja hoedje feesthoed van een piramide en een potlood aan de zijkant erin steken 
B: 	ja dat zijn G 
B: 	dit zijn de piramide er bovenop 
A: 	ja 
A: 	even kijken waar je zijn 
A: 	dat zijn ja dat zijn tien 
A: 	dit zijn de feesthoed met de potlood er aan de zijkant in steken 
A: 	yes dat zijn tien 
