B: 	oké 
B: 	dus weer met die schijf erachter en dat ding erdoorheen 
B: 	ja 
B: 	oké 
B: 	G 
A: 	oké nu hebben ik er één ik hebben één hebben een soort een bolle 
A: 	aan de zijkant aan de rechterkant en er zitten een staaf doorheen 
A: 	en aan het eind van de staaf zitten er nog een plat ballet 
A: 	plat schijf veel 
A: 	ja ja hebben die ook 
B: 	dit zijn de neus met de piercing 
A: 	ja 
A: 	ja 
A: 	ja soort gootsteenontstopper 
A: 	ja 
A: 	zijn nummer vijf 
B: 	oké 
B: 	A 
B: 	de piercing 
B: 	neus met de piercing 
A: 	nou nu hebben we weer die gootsteenontstopper 
A: 	met de door de neus heen 
A: 	en dinget bovenop 
A: 	ja 
B: 	H 
A: 	nummer vijf 
B: 	een neus met de piercing 
A: 	ik hebben die gootsteenontstopper 
A: 	door de neus 
A: 	ja 
A: 	ja 
A: 	nummer vijftien 
