B: 	ah 
B: 	lijken op een deegroller 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	ja ja dat zijn E 
A: 	ik hebben er één met vier uitsteeksel twee dezelfde en dat zijn er één een soort van kegel bovenop 
B: 	Minecraftblokje oké 
B: 	ja 
A: 	en linksonder een beetje 
A: 	een soort van bowlingbalkegel lijken het een beetje op 
A: 	ja aan de rechterkant 
A: 	ja 
A: 	ja en rechts weer die trap 
A: 	oké dat zijn bij mij nummer elf 
B: 	dit zijn die een met deegrollerhandvaot 
B: 	nee niet niet het schuin dak 
B: 	ja 
B: 	ja 
B: 	minecraftuitlaat 
B: 	ja 
A: 	ik hebben diegene weer met dat trappet aan de rechterkant dat omgekeerd trappetje laten maar zeggen 
A: 	en die kegel bovenop en die kegel aan de 
B: 	ah J 
A: 	ja 
A: 	nummer negen 
B: 	de deegroller 
B: 	fijn dat sommig zo snel gaan 
B: 	fijn dat sommig zo snel gaan 
A: 	ik hebben die met dat trappet aan de rechterkant en die twee kegel boven en link 
B: 	deegroller 
B: 	B 
A: 	ja nummer vier 
B: 	de deegroller 
