A: 	aan beide zijkant 
A: 	ja 
A: 	en hebben hij hebben hij dan ook een hoe noemen je dat , vierkant 
A: 	vlak vierkant 
A: 	oké 
A: 	nummer dertien 
B: 	deze hebben een soort van Antenne 
B: 	in de vorm van een een bel 
B: 	en aan de voorkant zitten een groot wat groot vierkant vlak 
B: 	ja precies van die klepp 
A: 	oké hier hebben je dat zijn die ik dus bedoelen 
A: 	aan de linkerkant hebben je dat zelfde dat die blok die steeds groot worden en aan de voorkant 
A: 	ja 
A: 	kijken aan de voorkant een vierkant en hebben hij daarboven ook een uh , soort , ja hoe noemen je dat 
A: 	ja ja serieus 
A: 	oké nummer tien 
B: 	okee 
B: 	ah ja ja ja ja 
B: 	ja ja 
B: 	ja dat zijn m 
A: 	ja 
A: 	aan de voorkant een plat vierkant en je noemen dat schroef geloven ik , en daar boven een paddestoel 
A: 	ja 
B: 	deze zijn met die antenne 
B: 	en dat vierkant blok op de op de voorkant 
B: 	ja c 
A: 	ja nummer een 
A: 	aan de linkerkant hebben je twee schroeven , daar boven een paddestoel en een 
A: 	ja top 
B: 	dit zijn de de mushroom 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	J 
