B: 	zien ja 
B: 	ja 
B: 	ja 
B: 	met vierkant bovenkant eraan ja dat zijn bij mij L 
A: 	ja deze kop 
A: 	soort van dienblad wat eruit steken aan de rechterkant en dan een beetje onder het midden 
A: 	en dan links een soort ja raar vormp en daar steken een soort spijker uit zeggen maar 
A: 	spijker 
A: 	ja ja ja ja ja nee ik ik zijn ja ja 
A: 	dat zijn nummer zeven 
B: 	ik hebben de basisvorm waar aan de voorkant op een soort plateautje een cirkel zijn vormen met een voe daaraan dus aan vast steken 
B: 	en ja ik weten niet hoe ik de maar wat je eerder zeggen als een soort tenthaak die dan met een vierkan als een soort uitsteeksel op op het ander uitsteeksel 
B: 	vastzet 
B: 	ja precies ja 
B: 	dat wel 
A: 	dat kop met het dienblad 
A: 	en het stuk iets met een spijker erin 
B: 	ah 
B: 	ja even zien 
B: 	dat zijn dan bij mij even zoeken ja C 
A: 	ja 
A: 	dat zijn nummer één 
B: 	ik hebben degeen de tenthaakding en dan 
B: 	ja 
A: 	het beker met het dienblad en de spijker 
B: 	ah ja die staan bij mij even zoeken ja A zijn dat 
A: 	dienblad met de 
A: 	ja 
A: 	nummer dertien 
B: 	ik hebben degeen met de de tentharing eruit steken 
B: 	met de tent haken daar yes juist ja zijn ja 
