B: 	ja 
B: 	ja en hij hebben een soort van twee armp aan de zijkant dan zijn het d 
B: 	ik moeten klikken toch ja 
A: 	oké het zijn een ja kopje en daarvoor zitten zo'n zo'n verticaal vierkant staaf en dan bovenop een balle 
A: 	en dan links en rechts beide een een een rond staafje met een knikje erin 
B: 	hij hebben zegmaar een bolle bovenop en twee van die armp en een vierkant pilaar aan de voorkant 
A: 	ja 
A: 	ja 
A: 	ja met die verticaal buis 
A: 	ja 
A: 	dat zijn vijftien 
B: 	pilaar 
B: 	L 
B: 	zegmaar bolle bovenop twee armp en pilaar aan de voorkant 
B: 	J 
A: 	dit zijn die met die verticaal balk voorop 
A: 	Bovenin dat ballet 
A: 	en aan beide zijkant zo'n buigen rond staafje 
B: 	met die armp bolle bovenop en pilaar aan de voorkant 
A: 	ja die verticaal balk 
A: 	dat zijn zes 
A: 	dit zijn die met de verticaal staaf aan de voorkant en het bollet 
A: 	en die twee haak aan de zijkant 
A: 	ja 
A: 	ja die verticaal staaf 
A: 	dat zijn drie 
