B: 	dit zijn staan op een draaien pilaar die zijn zo ik weten niet , draaien 
B: 	en drie vierkant erbovenuit steken 
B: 	ja dat zijn er maar één denken ik 
A: 	een wokkel ha ja 
A: 	blok bovenop toevallig 
A: 	ja 
A: 	ja 
A: 	okee 
A: 	ik gaan voor vijfteen 
B: 	drie ding aan de bovenkant zeggen je 
B: 	met een knikje 
B: 	ja ja ja 
B: 	oké 
B: 	H dan 
B: 	ik inzien nou pas dat het een driehoek zijn ja 
A: 	okee 
A: 	standaard 
A: 	driehoek 
A: 	wokkel omhoog 
A: 	blok bovenop 
B: 	bak met draaien pilaar , daar staan op , met een driehoek onderop 
B: 	waar zijn hij 
B: 	ja M 
A: 	met het driehoekje 
A: 	zoeken ah nummer achten 
B: 	draaien paal leunlen hij op , op een driehoek onderop 
B: 	draaien pilaar 
B: 	A 
A: 	deze zijn met die wokkel standaard met dat driehoekje eronder en blok bovenop 
A: 	ja 
A: 	ah ja nummer zeven 
A: 	wokkelvormig standaard met driehoek 
