A: 	deze hebben een soor ja ik vinden het best lastig een beetje ISS International Space Station achtig bovenop 
A: 	met zo'n vierkan zo met de 
A: 	ja zo'n ruit met de punt erin en dan twee 
A: 	precies en dan aan de voorkant nog aan de zijkant en aan de onderkant 
A: 	ja precies 
B: 	o ja ja 
B: 	ja 
B: 	ja ik hebben het ik hebben die ook dat doen hij me inderdaad ook aan denken en dat zijn bij mij zijn dat M 
B: 	ok 
A: 	nou gaan lekker 
A: 	met de wat 
A: 	ja 
A: 	ja ja ja 
A: 	even kijken ja ja 
A: 	nummer negen 
A: 	ja 
B: 	o dit zijn weer dat dansen poppe met die dat met die been zo en die been zo en nog een arm zo ja 
B: 	ok bij mij I 
A: 	oké 
A: 	nou weer met het space station bovenop waar het diamantvormp zo erin steken 
A: 	precies 
A: 	ja 
A: 	waar zijn die ? elf 
B: 	o H 
B: 	ok klikken 
A: 	oké nou dit zijn weer space station bovenop 
A: 	en het fliebel onderaan 
A: 	makkelijk makkelijk 
A: 	Space station veertien 
B: 	o dit zijn het dansen poppe 
B: 	ok bij mij F 
B: 	o daar D 
B: 	o dit zijn weer dat dansen poppe 
B: 	ja bij mij G 
