B: 	het voelen alsof dit kop naar links aan het bewegen zijn als een soort robot 
B: 	met twee heel pixelachtig object en een soort van Antenne op de kop 
B: 	voorin zitten een voorkant 
A: 	ja twee 
B: 	alsof het erop plakken zijn dat vierkant 
B: 	ja 
B: 	hij zullen zo naar link kunnen gaan als het zijn 
B: 	ja 
A: 	deze hebben twee uitsteeksel aan de linkerkant die kubus die zo steeds klein worden 
A: 	en voor de emmer zijn een vierkant 
A: 	ja 
A: 	twaalf 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	inderdaad twee pixelachtig ding en alsof hij naar links aan het gaan zijn 
B: 	ja N 
A: 	deze hebben een vierkant voor de emmer 
A: 	en link daarvan zijn twee keer die uitsteeksel met die kubuss 
B: 	vierkant zitten ervoor 
B: 	spijker op de kop 
B: 	en twee pixelachtig ding gelijk aan de linkerkant 
A: 	dertien 
B: 	ja 
B: 	ik hebben hem 
B: 	D 
A: 	een vierkant ervoor en twee kubusstaf die eruit komen aan de linkerkant 
B: 	lopen naar links , vierkant aan de voorkant 
B: 	met spijker op de kop 
B: 	ja 
B: 	L 
