A: 	deze hebben een balk aan de voorkant en een bol erbovenop 
A: 	en die balk steken uit aan de onderkant 
A: 	en aan de linkerkant zitten ook nog een uitsteeksel aan de rechterkant ook nog een klein maar die staan er niet helemaal op denken ik 
A: 	ja 
A: 	ja het lijken alsof die daarvoor staan zeggen maar 
A: 	ja 
B: 	ja 
B: 	en zijn het dan dat er nog wel allemaal ander uitsteeksel 
B: 	zeggen maar één 
B: 	ja 
B: 	ja 
B: 	ja ja dat zijn D 
A: 	bol bovenop 
A: 	ja 
A: 	ja oké dan zijn het vijftien 
B: 	even kijken 
B: 	ja volgens mij hebben we deze ook al hebben dat zijn weer die basketbal 
A: 	dit zijn die met die balk aan de voorkant die een beetje los lijken te staan 
A: 	en die bol bovenop 
A: 	ja 
A: 	ja 
A: 	oké dat zijn zes 
A: 	dit zijn die met die bol bovenop en die balk aan de voorkant die een beetje los lijken 
B: 	ja 
B: 	dat zijn L 
A: 	ja 
A: 	dat zijn drie 
B: 	ja dit zijn die basketbal 
B: 	de basketbal oké 
B: 	J 
B: 	de basketbal 
