B: 	de paal zitten aan de voorkant van het ding 
B: 	oké dan zijn dat nummer D 
B: 	en hij hebben ook nog twee armp 
B: 	oké ja dat zijn D 
A: 	ja deze vinden ik heel irritant 
A: 	deze hebben twee oeh oké 
A: 	hij hebben hij hebben een het zijn het het kop 
A: 	en dan zitten er een bal zitten erop dus er zitten een balle op 
A: 	en dan zitten er een een staaf staan ervoor 
A: 	en hij hebben twee van die dun lang arm die die krom zijn 
A: 	oké 
B: 	dit zijn die met het ei erbovenop en dan de balk aan de voorkant 
A: 	ze zijn helemaal verschuiven 
A: 	ja 
A: 	ja 
A: 	ja super nummer vijftien 
B: 	ja L 
B: 	het zijn die met die stok aan de voorkant die verticaal paal 
B: 	en een balle erbovenop 
B: 	J 
A: 	ja ik hebben de de de dun armha 
A: 	ja met het balle erop 
A: 	wachten even hem zoeken hoor 
A: 	ik kunnen hem gewoon niet vinden 
A: 	even kijken 
B: 	het zijn die met die paal ervoor 
A: 	wow 
A: 	daar zijn die 
A: 	ja oké nummer zes 
B: 	paal 
B: 	sorry ik kunnen niet praten 
A: 	de dun kromme arm 
A: 	met de bal erop 
A: 	ja 
A: 	nummer drie 
