A: 	ja 
A: 	oké dat zijn vier 
B: 	ja 
B: 	oké dit zijn eigenlijk een beetje nou dat zijn dat zijn gewoon de denken de lang van allemaal en dan van onder zijn eigenlijk een soort orkaan 
B: 	vinden ik 
B: 	ja zo'n twister 
B: 	en bovenop zien je twee blok en één zo'n 
B: 	ja dat zijn de goed 
B: 	ja ja 
A: 	dit zijn dat ding met zo'n driehoekje onder en dan nog zo'n draaien ding na dat kop en er staan een vierkant bovenop 
A: 	nog een vierkan en nog iets ander 
B: 	waar hebben ik die alweer zien 
B: 	ja 
B: 	A 
A: 	ja 
A: 	ja dat zijn tien 
A: 	dit zijn dat ding met dat driehoekje en die gedraaide 
A: 	die naar die pot gaan zeggen maar 
A: 	ja dat zijn vier 
B: 	dit zijn die trofee 
A: 	dit zijn die met dat driehoekje en dat gedraaide ding waar die op staan 
B: 	trofee 
B: 	L 
B: 	dit zijn de trofee 
B: 	de bokaal 
B: 	F 
