B: 	oké deze hebben een een schijf door het midden van het kop 
B: 	even kijken dat zijn er twee 
B: 	hij hebben een de onderste de onderste 
B: 	ja 
B: 	ja een beetje schuin cilinder 
B: 	twee punt erboven 
B: 	ja 
B: 	oké 
A: 	even kijken 
A: 	ik denken dat aan de bovenkant of aan de onderkant 
A: 	zo'n soort van L 
A: 	ja oké dan weten ik welk je bedoelen ik denken dat het nummer zes zijn 
A: 	ik hebben die een met dat vierkant laten maar zeggen een beetje aan de onderkant erdoorheen 
A: 	en dan die L aan de linkerkant 
A: 	ja 
A: 	ja zijn bij mij nummer dertien 
B: 	ja oké ja 
B: 	ja C 
B: 	dit zijn die een met die raar cilinderneus met een vlak door het kop 
B: 	met twee punt bovenaan 
B: 	ja 
B: 	slurf oké 
A: 	ik hebben die een met de L aan de linkerkant 
A: 	en dat vierkant erdoorheen 
B: 	ja 
B: 	ja J 
A: 	searching sound 
A: 	nummer negen 
B: 	met de slurf 
B: 	en het vlak erdoorheen 
A: 	ik hebben degeen met de de L aan de linkerkant 
B: 	ja 
B: 	dat zijn N 
