A: 	ja 
A: 	ja 
A: 	en ja dat zijn een heel klein 
A: 	er steken niet zo heel veel uit 
A: 	ja oké dat zijn acht 
B: 	deze zijn ook wel 
B: 	ja 
B: 	het zijn zeggen maar ja er staan er zitten eigenlijk een balk bovenop 
B: 	een balk 
B: 	en dan 
B: 	aan de een kant ja een soort uitsteeksel dat zijn een soort ja ook een half cilinder denken ik en aan de ander kant ja ik zullen het ja ik hebben het omschrijven als een 
B: 	ja zo'n rad van een watermolen zeggen maar 
B: 	daar doen het me een beetje aan denken maar 
B: 	of het kunnen ook een armpje zijn 
B: 	dat iemand net een tas vasthouden 
B: 	nee het zijn één recht balk 
B: 	ja 
B: 	ja beetje ja 
B: 	ja je kunnen ook inderdaad zien net zoals dat ander zijn dit ook wel eigenlijk zo je kunnen het ook zien als een tas daar net een boek bovenuit steken 
B: 	ja ja ja 
A: 	dit zijn die heel compact zeggen maar met dat balkje bovenop en 
A: 	ja 
A: 	ja dat zijn één 
B: 	ja 
B: 	E 
A: 	dit zijn die heel klein met die balk bovenop 
A: 	ja 
A: 	dat zijn zestien 
B: 	ja dit zijn dat die klein boekentas 
A: 	dit zijn die heel compact 
B: 	klein boekentas 
B: 	E 
B: 	dit zijn de klein boekentas 
B: 	de klein rugtas 
B: 	ja 
B: 	O 
