B: 	een feesthoed 
B: 	even zoeken 
B: 	ja ik hebben hem m 
B: 	deze hebben het groot driehoek bovenop en een kogel links 
A: 	deze hebben een driehoek of een pyramidevorm op zijn hoofd 
A: 	en een aan de zijkant een soort ja je zullen het ook een kogel kunnen noemen 
A: 	en een apart vormig neus 
A: 	wauw 
A: 	ja 
A: 	ja 
B: 	m 
B: 	deze hebben een driehoek bovenop zijn hoofd en een kogel links 
A: 	ja 
A: 	ja 
A: 	nou 
A: 	ja elf 
B: 	J 
B: 	de feesthoed en de kogel 
A: 	deze hebben een pyramide op zijn hoofd en een kogel tegen zijn schedel aan link oor 
A: 	ja 
A: 	ja maar waar zijn die 
A: 	ja veertien 
A: 	pyramide 
A: 	kogel 
A: 	pyramide 
A: 	ja 
A: 	ja punthoed zijn ook goed 
A: 	dertien 
