A: 	dit zijn een soort ja doen me een beetje aan een gieter denken of zo aan de rechterkant steken iets uit met een bol aan de zijkant en aan de linkerkant ook 
A: 	dus hebben je zo'n langwerpig staaf met aan de rechterkant een bol en aan de linkerkant ook en dan zo'n schuin vierkant links Bovenin 
B: 	ja 
B: 	ja ja ja 
B: 	okee 
B: 	dat zijn o 
A: 	ja ja ja drie 
A: 	dit zijn die gieter met die twee boll aan de zijkant 
B: 	deze hebben aan beide kant een uitsteeksel waarvan de een wat lang zijn dan de ander met aan beide kant van de uitsteeksel weer dat eivormpje 
B: 	ja 
A: 	ja veertien 
B: 	ja ja dat zijn g 
A: 	dit zijn de gieter 
A: 	ja 
A: 	waar staan hij tien 
B: 	deze hebben weer de ongelijk uitsteeksel met ei aan beide kant 
B: 	en het schuin plateautje 
B: 	ja dat zijn f 
B: 	dit zijn de twee ongelijk uitsteeksel met ei aan beide kant 
