A: 	ok deze hebben aan de zijkant twee identiek balk of ja eigenlijk heel dun vierkant 
A: 	ja eigenlijk gewoon twee precies dezelfde staaf zitten er daar bovenop zitten ja ja zo'n figuur 
A: 	ja het lijken heel smal te zijn want hij het lijken ook weinig op een theekop want eigenlijk het heel ding lijken heel smal 
A: 	aan de achterkant hebben hij nog een klein klein staart achtig 
A: 	o 
A: 	het zullen kunnen alleen ik zien het niet zien je wel echt twee van die staaf zo lopen 
A: 	balk omheen 
A: 	ik denken nog niet dezelfde zijn eigenlijk 
A: 	o men want tussen die twee staaf zitten wel nog wat een klein beetje ruimte tussen 
A: 	het steken 
A: 	ja 
A: 	nee ok ok je hebben dat komme en ik denken dat het dan voor jou aan deze kant zitten twee van deze 
A: 	rechthoe ze zijn ongeveer zo lang er zitten er twee boven elkaar 
A: 	en er zitten dus een heel klein beetje ruimte tussen en aan de ander kant zitten één staaf die zijn niet per se gelijk aan de twee staaf aan de ander kant 
B: 	moeten ik even goed kijken 
A: 	ja 
B: 	wachten ik denken dat ik dus je hebben inderdaad dan echt gewoon twee staf die uitsteken aan de rechterkant en dan 
A: 	ja 
A: 	kijken 
B: 	nog één ja 
B: 	en dan inderdaad rechtsonder hebben je nog een soort van staart zitten zeggen maar 
B: 	oké dat zijn bij mij dan I 
A: 	ja en aan de ander kant en hij aan de onderkant hebben hij nog zo'n ding 
A: 	ok dat zijn twee 
A: 	dit zijn die we deer die met dat hoed bovenop twee van die staaf aan de rechterkant ja 
A: 	nee het zijn niet de piramide 
B: 	ik hebben nu die een met aan de rechterkant weer twee van die staaf zeggen maar 
B: 	en dan aan de bovenkant zijn hebben je weer die lampenkap zeggen maar 
B: 	en dan aan de eronder dan ook weer zo'n staart zeggen maar en dan nog aan de 
B: 	ja 
B: 	even kijken 
B: 	met die uithangbord 
B: 	die en weer dat dat staart zeggen maar ook 
B: 	ja oké 
B: 	dat zijn bij mij M 
A: 	ja negen 
A: 	dit zijn weer met dat hoed bovenop niet de piramide en aan de zijkant twee van die balk 
A: 	ja zes 
B: 	nou hebben we weer die twee uithangbordjes met die lampenkap erbovenop en dat staart zeggen maar aan de linkerkant 
B: 	met die 
B: 	ja 
B: 	bij mij zijn dat F 
B: 	die twee uithangborde en die lampenkap aan de bovenkant zeggen maar 
