A: 	ja ja ja 
A: 	ja 
A: 	ja en er zitten er bovenin zitten er dan een ja een beetje een kubus 
A: 	en nog een ander ja 
A: 	ja precies en nog een schuin ding 
A: 	ja ja 
A: 	oké dat zijn vier 
B: 	oké dit zijn ook een kommetje en die hangen een beetje omhoog en er zitten een soort van ja 
B: 	paal onder en dan staan die op een driehoek 
B: 	vinden ik best creatief 
B: 	ja 
B: 	dat zijn hem 
A: 	ik hebben nu die soort helixachtig onderkant 
A: 	dat draai vormen ding 
A: 	met 
B: 	even kijken waar staan die 
B: 	waar zitten zitten die arm ook alweer 
B: 	ja 
B: 	even kijken horen 
B: 	zijn het zeggen maar dat die dat ei voorop hebben 
B: 	nee 
B: 	oké 
B: 	zijn dat die met die die dus dat ding dat uitsteken aan de zijkant 
B: 	die balk 
B: 	op dat driehoek 
B: 	nu zien ik die arm 
B: 	ja oké 
B: 	dat zijn A 
B: 	dit zijn die pot zeggen maar weer met de soort van ronddraaien slurf eronder en dat driehoek dat op de grond staan 
B: 	ja 
A: 	ja oké 
A: 	dat zijn met die kubus erboven ja 
A: 	dat zijn tien 
B: 	dat zijn L 
B: 	dit zijn met dat driehoek op de grond met die slurf en dan die pot 
B: 	ja 
A: 	ik hebben nu die dat draaiding 
A: 	de helix ja 
B: 	ja 
B: 	dat zijn F 
A: 	ja 
A: 	ik kunnen ze steeds weinig goed zien ja 
A: 	zijn nummer vier 
A: 	ik hebben de Helix 
