A: 	ok die mok daar zitten zo'n balk aan en dat zijn een beetje een ja een achtvormig balk die er uit steken en daar zitten dan een één één een een stekel in ook een groot stekel 
A: 	ja Vergrootglas of platvorm of zo helicopterplatvorm beetje 
A: 	ja Jajajaja en daar link zitten dan zo'n achtvormig achtig 
A: 	jajaja precies precies en 
A: 	ja jaja 
B: 	ja dat zijn bij mij L 
B: 	met zo aan de zijkant nog zo'n soort dienblad 
B: 	ja 
B: 	ja 
B: 	oké dat zijn L 
A: 	ok 
A: 	die weten ik al even kijken waar die staan nog 
A: 	gaan stuk snel als eerst nou 
A: 	zeven 
B: 	oké dit zijn die met dat oberdienblaad en dat dakraam met dat schijnsel 
B: 	ik vinden het een beetje zo'n Pacmandingetje wat daaronder zitten maar 
B: 	ja omdat die omdat die zo driekwart rond zijn zeggen maar dat die zo 
B: 	maar 
B: 	ja die 
A: 	die met dat platvorm en die stekel op die pacman 
A: 	ja 
B: 	ja 
B: 	en het die 
B: 	zonder te praten lukken het 
B: 	dat zijn bij mij C 
A: 	o 
A: 	pacman 
A: 	met armpiercing nee 
A: 	ja ik weten wel welk je bedoelen 
A: 	o ik zien hem al ik zien hem al ja één 
B: 	nu hebben ik die met dat dienblad en dat dakraam 
A: 	die pacman ding 
B: 	ja die dat zijn A 
A: 	ok 
A: 	o dertien 
B: 	nu hebben ik die met dat dienblad en dat dakraam 
