A: 	ja 
A: 	dit figuur hebben even kijken aan de bovenkant een soort hoedje op met een plat dak aan de bovenkant 
A: 	en aan de rechterkant staan een soort isteken 
A: 	en aan de linkerkant een minne 
A: 	en dan hebben die aan de Linkeronderkant hebben die nog een soort komma staart 
B: 	ja 
B: 	ik zien het het zijn I 
B: 	ik hebben hem 
B: 	ja 
A: 	ja 
A: 	nummer twee 
B: 	nou ja dit zijn weer die een met de lampenkap erop en die twee cilinder die eruit steken aan de rechterkant 
B: 	rechthoe correctie 
B: 	ja 
B: 	ja ja 
B: 	ja 
A: 	dit zijn dat plaat met dat heuvel aan de bovenkant en aan de een kant het isje en aan de ander kant het minteken 
B: 	ja 
B: 	ja M 
A: 	ja nummer negen 
B: 	dit zijn de lampenkap met de twee balk eruit 
B: 	ja ja ja ja 
B: 	oké 
A: 	en dit zijn die met het isteken rechts en het minne link 
B: 	F 
A: 	nummer zes 
B: 	het zijn de lampenkap met de twee balk 
