B: 	en zitten er link nog twee dinget 
B: 	oké dan zijn het E 
A: 	dit zijn een soort van ja ik hij hebben een soort van kegelvormig neus en een kegelvormig haart 
A: 	en dan twee armp 
A: 	dus twee kegel één als neus en één als haar 
A: 	armpje ja een soort van Minecraftarmpje ja 
A: 	ja ja ja 
A: 	ja die 
A: 	oké 
B: 	deze hebben een soort ja 
B: 	kegel erop die er ook voor zitten en dan rechts die blok weer die steeds een klein blok en dan een groot blok en dan nog groot blok 
B: 	en links aan de zijkant nog 
B: 	dat zijn ongeveer dezelfde kegel 
B: 	volgens mij zijn het één van de één die we hebben 
B: 	ja rechts in elkaar gestapeld blok 
B: 	en links boven dat kegelding zitten nog een klein raar fru 
B: 	ja dat zijn bij mij J 
A: 	die 
A: 	die Minecraft 
A: 	dat zijn numero elf 
B: 	deze hebben weer die twee kegel en die blok die 
B: 	ja 
B: 	B 
A: 	dit zijn die Pinokkio met dat raar dat dat dat raar autistisch hand en die en die en die 
A: 	en dat Mindcrafthand 
A: 	ja ja 
B: 	deze zijn weer met die twee ding die zo gaan 
B: 	en die 
B: 	ja 
A: 	ik gaan hem even opzoeken 
A: 	op een geven moment ah ja ik hebben hem vinden 
A: 	dit zijn numero negen 
A: 	de de Mindcraftarmpje en dat raar armp 
A: 	dat zijn nummer vier 
