A: 	deze deze hebben hiervoor even kijken deze hebben je hebben die die weten je wel dat dat hoofdfiguur zeggen maar daar daar die emmer zeggen maar 
A: 	en dan ja 
A: 	en dan daarvoor staan daar zo'n rechthoekig staaf zo verticaal 
A: 	ja zo'n bal bovenop en dan 
A: 	ja ja die ja 
A: 	oké 
B: 	o ja volgens ja ik denken wel dat ik weten tenminste mij doen het beetje denken aan Bolpuntcom man ik weten niet of je het dan 
B: 	ja ok dan zijn het denken ik wel dezelfde ja dan dat zijn bij mij in ieder geval D 
B: 	o dan moeten ik eerst nog drukken 
A: 	even 
A: 	even kijken 
A: 	zo rechtop 
A: 	ja van die ronde 
A: 	ja 
A: 	één met zo'n hoek en de ander niet 
A: 	ja één zo in de hoek ja 
A: 	dat zijn vijftien 
B: 	o dit zijn o dit zijn weer dezelfde beetje dat Bolpuntcom man waar het mij aan doen denken met die armp zo aan de zijkant en dat blok 
B: 	er voor 
B: 	ja ja 
B: 	ok bij mij K 
A: 	ja dit zijn die met die recht staaf die ervoor staan en dat ei bovenop en dat 
B: 	o die ok ja dat zijn bij mij L 
B: 	ja ja die ja 
B: 	ok 
A: 	die verticaal staaf en die bal 
A: 	zes 
B: 	o wachten gaan ik weer even uitleggen 
B: 	ja dat zijn waar 
B: 	dit zijn het Bolpuntcom man met een blok voor 
B: 	ok bij mij M 
A: 	dit zijn die rechthoekig staaf aan de voorkant 
A: 	en dat ei bovenop 
A: 	ja drie 
B: 	even kijken waar die zijn o daar J 
B: 	o 
B: 	het Bolpuntcom poppe 
B: 	ok bij mij A 
