B: 	ja I 
A: 	bij mij zijn het zo'n kop en aan de rechterkant zitten zo'n egaalteken van met wiskunde weten je 
A: 	en 
A: 	= ja de ISteken 
A: 	en hij hebben daarnaast zo'n hoedjeachtig iets 
B: 	deze hebben die twee rechthoekjes boven elkaar aan de rechterkant van de emmer 
B: 	bovenop hebben het op zijn kop de omgedraaide trechter of heten dat een trapezoid 
B: 	en aan de aan de linkerkant hebben hij soort van 
B: 	ja 
B: 	ja 
B: 	ja c 
A: 	dat zijn de egaal of ISdinges ISteken van wiskunde 
A: 	ja dat zijn nummer zeven 
A: 	deze zijn met het ISteken 
A: 	en de het klein hoed zonder punt 
B: 	dit zijn die een met die twee blok nee twee rechthoekjes aan de rechterkant bovenop elkaar 
B: 	en die omgedraaide trechter bovenop 
B: 	o 
A: 	ja dat zijn nummer zestien 
B: 	dit zijn die een met op zijn kop trechter bovenop en twee blok aan de rechterkant 
A: 	dit zijn met het ISteken aan die kant en een plathoed 
A: 	dat zijn nummer drie 
