B: 	met aan allebei de kant twee blokkentorens 
B: 	oké dan zijn het M 
A: 	oké 
A: 	ja ik vinden dit een kraantje 
A: 	ja 
A: 	nee bovenop zien je een een een kantelen vierkant met van die ja echt van die kraan eraan en aan de onder onder alsof het een wasbak zijn 
A: 	ja hij hebben een één 
A: 	hij hebben één arm 
A: 	ja 
A: 	ja 
A: 	ja en aan de zijkant en ja 
A: 	negen 
B: 	ja dit zijn ja ik zien het als een karatepoppe 
B: 	met aan de voorkant wel nog een soort Pinokkioneus 
B: 	die naar rechts gaan 
B: 	en aan de onderkant en aan de rechterkant een soort van buigen dinge 
B: 	ja 
A: 	het kraantje 
A: 	ja 
A: 	ja 
A: 	zijn elf 
B: 	Karate Kid waar staan Karate Kid 
B: 	ja 
B: 	dat zijn H 
A: 	het kraantje 
A: 	ja veertien 
B: 	dit zijn Karate Kid poppe met het hoed ook wel 
B: 	ja 
B: 	Karate Kid staan dat zijn D 
B: 	karatepoppe 
B: 	ja hij staan bij mij helemaal links in het midden 
