A: 	ja ik weten welk je bedoelen dat zijn twee 
A: 	en zo'n vierkant 
A: 	zo'n plat vierkant erop plakken en een antennetje 
A: 	ja dat zijn twee 
B: 	deze hebben zegmaar een spijker bovenop en een vierkant vlak aan de voorkant 
B: 	met twee blokkentorent link 
A: 	dit zijn degeen met de twee verrekijker 
A: 	en zo'n antenne bovenop 
A: 	ja 
A: 	wachten even ja twee verrekijker 
A: 	ja negen 
B: 	blokkentorent 
B: 	G 
A: 	ja 
A: 	dit zijn degeen met de twee verrekijker en de Antenne 
B: 	hij hebben zegmaar een spijker bovenop links twee blokkentorent en een vierkant scherm 
B: 	D 
A: 	ja één 
B: 	twee blokkentorent link spijker bovenaan vierkant schermpje vooraan 
A: 	dit zijn degeen met de twee verrekijker 
B: 	B 
