B: 	geel knop 
B: 	ik weten niet zo goed wat dit zijn 
B: 	dit zijn de weinig uitbundig vorm maar hij hebben een balk plat erop liggen 
B: 	ja dat denken ik wel ja 
A: 	ja met die ja ik weten welk je bedoelen waar staan die nou joh 
A: 	hier 
A: 	ja en hij hebben een soort 
A: 	ja als je een beetje zo'n paaseilandgezicht bekijken zeggen maar zullen die neus aan de linkerkant zitten 
A: 	en dan hebben die een soort van niet een Mohawk zo maar zo 
A: 	ja ja ja ja ik weten welk je bedoelen 
A: 	dat zijn acht 
B: 	waar zijn dat kreng ? ja E 
B: 	het zijn die een beetje nietszeggend met die balk erbovenop 
A: 	dit zijn die Paaseilande met die raar oorbel met die neus aan de linkerkant 
A: 	met die ja met die raar zijwaarts ding 
B: 	waar zijn die 
B: 	E 
A: 	ja met die raar neus en die oorbel 
A: 	waar staan die ? waar staan die ? waar staan die 
A: 	ja 
A: 	ja bij mij ook 
A: 	nummer één 
B: 	het zijn die met die balk erbovenop die een beetje nietszeggend 
A: 	dit zijn het Paaseilandbeeld met die raar coupe 
A: 	waar staan die 
A: 	nummer zestien 
B: 	waar zijn die balk 
B: 	ja vinden O 
A: 	paas ik bedoelen 
A: 	link onderin Paaseiland 
