B: 	ja nu zijn ik weer het zijn ja eigenlijk het zijn zeggen maar het zitten eigenlijk zitten er een plaat in het midden 
B: 	en eigenlijk lijken het een beetje op een glijbaan 
B: 	tenminste ik zullen het en dan zitten er ja het zijn dat kop dus met de plaat in het midden 
B: 	en boven staan eigenlijk twee punt 
B: 	of twee streep eigenlijk 
B: 	zullen een 
B: 	ja 
B: 	ja 
A: 	oké ja er zitten echt zo'n vierkant platform omheen een beetje midden onder 
A: 	ja 
A: 	ja 
A: 	ja dat zijn nummer zes 
B: 	ah ja 
B: 	C 
A: 	deze hebben twee kort balk bovenuit steken naast elkaar 
A: 	en die hebben zo'n platform om zich heen 
A: 	een vierkant platform en dan zo'n glijbaan eruit en zo'n L 
B: 	dit zijn die glijbaan 
B: 	ja 
A: 	ja 
A: 	dat zijn dertien 
B: 	glijbaan waar zijn je 
B: 	ah 
B: 	J 
A: 	deze zijn met dat hoe noemen we dat nou dat platform rondom die kop en dan twee van die klein staafjes erbovenuit 
A: 	zo'n hoekig staaf aan de links kant en zo'n glijbaan 
A: 	ja 
B: 	dit zijn de glijbaan 
A: 	ja 
A: 	met die twee balk erbovenuit 
A: 	ja nummer negen 
B: 	ah ja 
B: 	ja 
B: 	N 
A: 	dit zijn met die glijbaan en dat platform 
