B: 	oké dus het zijn in principe een soort eivormig iets wat vooraan de mok zitten 
B: 	en dan een balkje en twee balk en een schijf 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	en dan een soort gek vormen ja het zijn geen vierkan maar 
B: 	ja precies ja dat zijn bij mij nummer J 
B: 	of letter J 
A: 	ja nou moeten ik weer kop 
A: 	piramide erop 
A: 	soort van vierkantachtig maar net niet helemaal ding zitten er een beetje aan vastgelijmd rechts 
A: 	links een soort van wijnfles die eruit steken en linksonder een cirkel 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	ja 
B: 	ik hebben in principe de gek vormen driehoek waarbij de kleur gradueel van donker naar licht gaan 
B: 	vooraan zitten een soort raar vierkan met een uitsteeksel 
B: 	heel raar vorm en dan veel een soort puntig kogel aan de linkerkant 
B: 	ja 
A: 	kop met de piramide 
A: 	en de de wijnfles aan de linkerkant 
A: 	en 
B: 	ja 
B: 	ja 
B: 	dat zijn dan E 
A: 	ja nummer tien 
B: 	ik hebben degeen met het graduel het het driehoekje boven 
B: 	het graduel kleurverschil en de 
B: 	yes 
B: 	wachten die moeten jij trouwens indrukken 
A: 	de piramide aan de bovenkant de wijnfles aan de linkerkant 
A: 	net niet vierkantje 
B: 	ja 
B: 	oké 
B: 	ik weten het G 
A: 	ik zijn hem aan het zoeken 
A: 	ja hebbes 
A: 	nummer tien 
B: 	ik hebben degeen met het driehoekje boven waar ik een kleurverschil in zien en dan een klein dinge 
B: 	yes 
