A: 	ja ik hebben hem benoemen als puntmuts hij hebben zo'n gek vierkant 
A: 	ja 
A: 	maar dan een heel groot en gek neus 
A: 	ja Ronde wielt soort van aan aan de onderkant 
B: 	ja 
B: 	zitten daar echt zo'n heel random een soort alsof een kogel aan de ? ja 
B: 	dat zijn J 
A: 	ja de puntmuts achtig 
A: 	oké zes 
B: 	deze hebben een piramide op zijn hoofd en aan de linkerkant een kogel die er bijna doorheen gaan 
A: 	de puntmuts met de groot neus 
B: 	ja en de kogel die er bijna doorheen gaan 
B: 	E 
A: 	de puntmuts tien 
B: 	dit zijn met de piramide boven en de kogel aan de linkerkant 
A: 	de puntmuts bij mij helemaal linksboven 
A: 	de puntmuts 
A: 	tien 
B: 	piramide op het hoofd en kogel 
B: 	die er bijna doorheen gaan 
