B: 	ja 
B: 	o eigenlijk zo'n slurfje zo 
B: 	ja en aan de bovenkant een soort van vierkan inderdaad met aan beide kant iets er uit steken 
B: 	en link zitten een soort van ja arm ja dat zijn M 
A: 	ja 
A: 	dit zijn het zijn het kop en dan bovenop zitten dan een ruit met een vierkant staaf erdoorheen die ook steeds groot worden naar aan de buitenkant 
A: 	en dan aan de rechterkant zitten een een staaf met een knik en aan de voorkant zitten ook een staaf en aan de onderkant zitten ook zo'n soort van poo met een knik 
B: 	ja weten niet maken het wel makkelijk 
B: 	het zijn zegmaar die met zo'n vierkan bovenop die aan beide kant doorboren zijn aan de onderkant zitten weer zo'n gek 
B: 	glijbaan waar je het net over hebben en hij hebben een heel lang neus bij wijze van spreken 
B: 	ja en met die neus ja H 
A: 	ja ja 
A: 	ja 
A: 	ja ja die groot worden 
A: 	yes dat zijn negen 
B: 	dat glijbaan onderin en bovenin zo'n vierkant wat doorboord zijn aan beide kant 
B: 	even kijken 
B: 	even kijken met die arm 
B: 	dat bovenste vierkan wat doorboren zijn aan beide kant 
B: 	o ja dat ja sorry D 
A: 	dit zijn de ja die met die die die ruit bovenop en dan die vierkant erdoorheen 
A: 	die die klein wordende groot worden vierkante en dan links ik bedoelen rechts en aan de onderkant nog een haak en aan de voorkant nog die neus 
B: 	dat glijbaan onderaan en doorbooren vierkant aan beide kant bovenaan 
A: 	ja 
A: 	dat zijn elf 
A: 	ja dit zijn die met die die die die ruit bovenop met die vierkant die groot en klein worden 
A: 	en die drie uitstulpings 
A: 	nee 
A: 	en die ander drie 
A: 	dat zijn veertien 
