A: 	ja 
A: 	dat zijn nummer twee 
B: 	nou dit zijn een kop daar zijn komen één komen een soort komen twee blokkentorent uit 
B: 	zitten een soort van spijker op en een vierkant ertegenaan plakken 
B: 	nou ja je hebben dus het kop 
B: 	er zitten een vierkant tegenaan geplakt 
B: 	en een spijker 
B: 	bovenop 
B: 	ja 
B: 	Blokkentorens ja 
B: 	ja 
A: 	dit zijn jou robot 
A: 	met zijn armp en zijn 
B: 	ja 
B: 	dat zijn G 
A: 	even zoeken hoor 
A: 	nummer negen 
B: 	het zijn weer die een met het spijker erop en het vierkan ertegenaan plakken 
B: 	en de blokkentorens 
A: 	en dit zijn het robot 
B: 	ja 
B: 	D 
A: 	kijken waar die staan 
A: 	ja nummer één 
B: 	het zijn weer de de spijker het het plat vierkant en de blokkentorens 
A: 	dit zijn WALLE 
B: 	even zoeken 
B: 	B 
