B: 	ik weten al welk je bedoelen ik vinden het een boiler denken ik 
B: 	met zo 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ik vinden het echt op een boiler lijken ik weten niet waarom 
B: 	M 
A: 	ja hier deze staan volgens mij als enig op een krom blok 
A: 	en die hebben eigenlijk aan de zijkant hebben hij twee ja een cilinder vormig en nog een kubusachtig hand zullen ik maar zeggen zo zeggen en 
A: 	een ding dat doorheen gaan ja ja 
A: 	en die ruit waar zo'n ding doorheen 
A: 	ja dat zijn dan nummertje negen 
B: 	ik noemen het de boiler 
B: 	jij noemen het iets ander 
B: 	met dat vierkant boek bovenop 
B: 	pinokkio ja Pinokkio 
B: 	de 
B: 	de boiler 
B: 	ik zien hem niet 
B: 	ja en met dat boek bovenop 
B: 	ja 
B: 	H 
A: 	ja dit zijn dan eigenlijk die steunen weer op iets dus op zo'n op zo'n zo'n knik knikkenen 
A: 	kubus achtig en die hebben hij ook dan aan de zijkant zitten en dan plus met nog een ander soort toet toet er bij er bovenop hebben hij eigenlijk een soort van ruit met zo'n doorboorde 
A: 	ja wat doorheen komen 
B: 	oké de boiler 
A: 	ja 
A: 	zijn nummer elf 
B: 	de boiler 
A: 	ja dit zijn die die ruit die er er bovenop worden doorboorden door zo'n kubus en dan hebben je onderin hebben je één houder zo'n kromme houder ja 
A: 	jajaja ja dat zijn weer die ja diezelfde staaf van onder zitten ook aan de zijkant ja dat zijn dan nummertje veertien 
