B: 	dit vinden ik een soort van tafel die erdoorheen zijn steken 
B: 	ding en er zitten een bak bovenop 
B: 	ja 
A: 	ja zo'n soort ik noemen het een bumper 
A: 	zo'n bumper om zich heen 
A: 	met een ook zo'n omdraaien piramide erop 
A: 	oké 
A: 	dat zijn nummer zestien 
B: 	met een bak erop P 
A: 	die met die bumper en die omgekeerd piramide 
A: 	met die bumper ja 
A: 	dat zijn nummer veertien 
B: 	dit zijn de tafel die erdoorheen steken de groot tafel met een bak erbovenop 
A: 	die met die bumper en die omgekeerd piramide 
B: 	oké 
B: 	N 
A: 	met de bumper 
A: 	dat zijn nummer tien 
B: 	dit zijn de groot tafel met een bakje erop 
A: 	die met die bumper en die piramide 
A: 	omgekeerd 
B: 	ja 
B: 	D 
