B: 	zijn lang dan de ander 
B: 	K 
A: 	het zijn een beetje die je hebben dat gewoon die beker en dan hebben je zo'n soort stang horizontaal doorheen met twee bollet aan de uitein 
A: 	gewoon die ja die die ja 
A: 	ja die ja 
B: 	ja ik weten niet veel hoe jij het net beschrijven ik vinden het een soort van springplank die erachter zitten 
B: 	met twee van die ding die eruit steken met bollet aan de zijkant 
A: 	ja 
A: 	nummer negen 
A: 	die emmer met die met dat paal erdoorheen en die twee bollet aan de zijkant 
A: 	en dat zonnepaneel 
B: 	ja 
B: 	F 
A: 	ja dat zijn Jezus 
A: 	nummer drie 
B: 	dit zijn weer met dat soort van springplank en die ding met die bollet aan de zijkant 
B: 	soort van potlood dat erdoorheen steken met twee bollet aan de uitein 
A: 	die die emmer met die staaf erdoorheen met die bollet aan de zijkant en dat zonnepaneel 
B: 	ja 
B: 	L 
A: 	ja dat zijn nummer vijf 
B: 	dit zijn weer dat dat klepje met die twee potlod met bollet eraan die er zo uit steken 
B: 	weten je welk ik bedoelen 
B: 	ja dat die een zijn lang dan de ander 
B: 	er steken twee ding uit aan de onderkant 
