A: 	kloppen 
A: 	ja ik hebben nummer inderdaad 
A: 	maar kunnen je gewoon letterlijk alles zeggen wat erop staan 
A: 	maar zeggen maar driehoekig of zo of dat niet 
A: 	of zeggen maar zo'n zo'n boomachtig 
A: 	oké oké 
A: 	en zo'n twee verschillend zeggen maar oort of zo 
B: 	oké ik hebben een rood scherm 
A: 	zeggen maar 
B: 	deze hebben één uitsteeksel 
A: 	ja 
B: 	aan de bovenkant en een soort cilindervormig balk met een met rond zijkant aan de onderkant 
A: 	zeggen 
A: 	oké 
A: 	ja ik denken dat ik het wel weten 
A: 	dan moeten ik een nummer zeggen of niet 
B: 	en een stuk dat uitsteken aan de zijkant 
A: 	zo'n legoblokachtig zeggen maar 
B: 	ja zeggen maar aan de onderkant zitten een balk 
B: 	maar die zijn rond afronden zeggen maar 
A: 	en een buis zien ik 
A: 	van die van die ja weten je als je zeggen maar van die je gaan van klein Legoblok en dan groot groot groot 
B: 	met zo'n 
B: 	ja die 
B: 	met zo'n er zitten nog een half rond 
B: 	en er zitten een pluimp aan 
A: 	zoiets 
A: 	dat zien ik dan of dat zullen ik kunnen bedenken 
B: 	ja 
A: 	wat jij hebben 
A: 	nee 
A: 	oké volgen 
A: 	ja daarom 
A: 	maar gaan het zeggen maar zo dat dat dat boven 
A: 	zo'n zo'n zo'n lang Y of zo 
A: 	oké oké oké 
A: 	maar aan aan op zijn hoofd zeggen maar 
A: 	oké 
A: 	maar dan hebben je gewoon twee in dezelfde in dezelfde plaat toch 
A: 	of niet 
A: 	maar één 
A: 	oké gaan we kijken waar de volgen zijn 
A: 	hebben het zo'n een half rond of zo 
A: 	oké dan en beneden zo'n nekachtig 
A: 	oké dan wel 
A: 	dertien hebben ik dan 
A: 	moeten moeten ik dan drukken gewoon op geel of niet 
A: 	oké 
B: 	ja 
B: 	oké wachten even 
B: 	nu moeten ik even ik ik zijn het even 
B: 	ze staan ook allemaal op een ander plek nu 
B: 	oké 
B: 	er zitten iets aan de onderkant en links steken iets uit 
B: 	wat link uitsteken best wel rond 
B: 	oké sorry wachten even nu weten ik het niet veel 
B: 	oké nog één keer 
B: 	ja ja ja ja hier hebben we de vorig keer ook 
B: 	ja deze hebben zo zo'n soort van balk maar dan met rond zijkant eronder 
B: 	en er zitten zo'n fliebel aan de aan de voorkant erop 
B: 	rond ja ja ja oké dan zijn het O 
B: 	sorry 
B: 	ze zijn weer veranderen 
B: 	oké 
B: 	dit zijn diegene waar we het net zo lang over doen die onderaan zo'n balk hebben en zo'n fliep aan de voorkant en zo achteraan een schijf 
B: 	en één rond dat uitsteken 
A: 	daar hebben we weer deze met dat met dat half rond zeggen maar 
A: 	en en een waterdruppel 
A: 	ja en die neus ja 
B: 	ja ja ja en één zo'n fliebel aan de bovenkant 
B: 	ja ja 
B: 	ja dat zijn C 
A: 	nog een nieuw 
A: 	ja 
A: 	ja 
A: 	ja en dan met met die blok bedoelen je 
A: 	nee wachten 
A: 	waar zijn wij 
A: 	met die of met die met die hand of zo 
A: 	ja 
A: 	en dan zo'n zo'n nek of zo 
A: 	oké 
A: 	achten 
B: 	oké ik hebben die waar we zo lang over meedoen met die afgeron balk en één zo'n fliebel en een rond 
B: 	ja met die afgeron ding 
B: 	ja 
B: 	dat zijn C 
B: 	nice 
B: 	Hallo 
A: 	de het waterdruppel en dan dat dat half rond dan 
A: 	en zo'n nek 
A: 	zo'n heel 
A: 	ja 
A: 	zeven 
A: 	ja dat een waterdruppel en dan zo'n half rond 
A: 	met zo'n nek 
A: 	ik weten niet of die ook aan staan volgens mij niet 
A: 	alleen die 
A: 	ja toch 
