A: 	ik hopen dat we het goed doen 
A: 	ja ja ja ja 
A: 	ik weten al 
A: 	vijf 
B: 	ok dit zijn dus wel dat beker met die oor 
B: 	en het zijn met een vlak onderaan alsof hij op een tafel staan en met zo'n rond voor ze aan de voorkant 
B: 	ja 
A: 	dit zijn die Pippi Langkous 
A: 	met die die bollet 
A: 	die drie ding 
A: 	ja elf 
B: 	en de voorkant zo'n ding 
B: 	ja dat zijn voor mij J 
A: 	Pippi Langkous 
A: 	het zijn altijd even zoeken 
B: 	dit zijn met het tafel er onder en die twee sprieot ding met die drie bollet 
A: 	ja negen 
B: 	en de twee macaroni 
A: 	Pippi Langkous 
B: 	en macaroni 
B: 	ok dat zijn voor mij P 
B: 	dit zijn met die twee macaroniet op een tafel en die twee oor 
B: 	ja dat zijn L 
