A: 	hier hebben je twee handvat met cirkel aan beide kant van de emmer 
A: 	link zijn hij wat kort dan rechts 
A: 	dus zijn eigenlijk twee uitsteeksle met een bal erop 
A: 	en aan de achterkant hebben je een schuin vierkant 
A: 	met daaronder een balk die omlaag gaan 
B: 	staaf onderkant 
B: 	even kijken ik vinden hem niet 
B: 	onderkant achterkant ja oké 
B: 	ah oké ja 
B: 	en er zitten een schuin vierkant 
B: 	ja oké 
B: 	I 
A: 	baseballbat 
A: 	en opzeten hij ja zo'n schuin vierkant naar links richten zeggen maar weer zo 
A: 	en dan twee staf met die bal eraan 
A: 	okee 
A: 	ja veertien 
B: 	een beetje achter zitten de staaf doorheen met soort met twee bollet aan het uitein en een vierkant achter het kop met een staart eruit 
A: 	dit zijn die Baseballbat 
B: 	ja even kijken 
B: 	waar zijn je 
B: 	ah en een lepeltje erachter 
B: 	ja 
B: 	ja ja ja die dan soort van vast kunnen houden ja 
B: 	K 
A: 	ja 
A: 	een 
A: 	de De baseballbat 
B: 	een staaf door het midden heen , twee rond aan het uitein en daar achter zitten een vierkantje beetje verstoppen met een staart erachter 
A: 	zes 
B: 	ja en een soort vierkant dinge 
B: 	ja 
B: 	N 
B: 	vierkant naar achter soort tafelachtig ding achter met een staart eruit 
B: 	twee balk 
