A: 	omdat twee 
A: 	ja 
A: 	bovenop twee heel klein cilindertje 
A: 	ja en zijn zitten er ook een vierkant ding onder beetje nou niet helemaal onder maar een beetje 
A: 	ja erdoorheen ja oké dan weten ik welk het zijn 
A: 	het zijn zes 
B: 	ok het plaat hebben een een vlak door de basis laten maar zeggen en daarboven 
B: 	nee nee 
B: 	een ander en daar bovenop zitten nog twee spriet en een soort van neus vooraan en dan aan de linkerkant zitten nog een haak 
B: 	ja 
B: 	ja 
A: 	even kijken dit zijn die olifant met die slurf zo en rechts hebben die dat 
A: 	ja die tetrisblok zeggen maar 
A: 	en twee 
A: 	ja precies 
A: 	en twee spriet 
A: 	en hij staan helemaal boven 
A: 	ja 
A: 	dertien 
A: 	de olifant 
A: 	ja met de arm de olifant met de arm 
B: 	en die haak 
B: 	ja dat zijn voor mij C 
B: 	dit zijn met het 
B: 	zo'n vlak door de beker heen met die twee dinget bovenop zijn kop en één haak en één slurf 
A: 	ja 
A: 	even kijken 
A: 	waar zijn die 
A: 	huh ? ik zien hem niet veel 
A: 	ja 
A: 	ja dat kloppen 
A: 	negen 
B: 	ja dat zijn voor mij J 
A: 	olifan met armpje 
A: 	zitten bij mij midden boven 
B: 	dit zijn met het blad door het kop heen die twee staaf bovenop die slurf en een haak 
B: 	vlak erdoor 
B: 	ja dat zijn voor mij N 
