A: 	oké 
A: 	aan de bovenkant van het soort kop zitten een heel klein soort pluimpje die steken naar link die wijzen naar link 
A: 	en rechts van het kop zijn een balle en door het ballet zijn eigenlijk een soort ja staafje steken 
B: 	ja 
A: 	en rechts van het staafje zijn een plat rond 
B: 	en aan de achterkant een schotel 
A: 	hebben je een beetje idee wat ik 
B: 	ja 
A: 	ja echt zo'n klein klein pluimp die 
B: 	ja ja 
B: 	aan de achterkant zitten iets 
A: 	oké 
B: 	ja precies ja wat dunn cirkel 
B: 	okee dan weten ik het dan zijn het d 
A: 	dat ja 
A: 	oké 
A: 	even kijken dat zeggen je plat cirkel aan de zijkant 
A: 	zijn dat rechts 
A: 	en dan links hebben je zo'n met zo'n heel uitsteeksel naar boven 
A: 	of zijn dat weer een ander 
A: 	ja 
A: 	en 
A: 	ja 
A: 	ik hebben hem , nummer veertien 
B: 	deze zijn met die bal en die de die die rechthoek met die bal en die die dat schotelt erdoorheen aan de voorkant 
B: 	waarbij je dus op de bovenkant zo'n zo'n mini kegelt hebben 
B: 	of 
B: 	ja precies 
A: 	deze hebben een ook zo'n balle en daardoor steken een staaf en aan de rechterkant van die staaf zitten een plat cirkel 
A: 	even kijken wat zeggen je , lepel 
A: 	een paal en een plat cirkel zeggen je 
A: 	en waar zitten die precies 
A: 	die 
A: 	ja precies nummer drie 
A: 	dat noemen je een lepeltje , dat in het kop zitten bedoelen je 
A: 	ah oké nummer drie 
B: 	ah ja ja en daar bovenop staan nog een ding 
B: 	ja dat zijn c 
A: 	oké met dat lepeltje voor jou en dat ballet waar dat staafje doorheen gaan en waar 
B: 	dit zijn de met die met dat rechthoek en die waar een bal die dat rechthoek gaan door een bal en een één eindigen bij een schotel 
B: 	okee 
B: 	zitten die aan de voorkant 
B: 	okee 
B: 	ja en dat kegelt bovenop 
B: 	minikegel 
B: 	ja okee 
B: 	dat zijn n 
A: 	even kijken waar die staan 
A: 	ja nummer zes 
B: 	dit zijn met een in ieder geval die die rechthoek rechthoekig staaf waar die bal in zitten en eindigen met een schotel 
