B: 	ha ja dit zijn een ding met twee soort van kegel aan de zijkant 
B: 	en een langwerpig blok bovenop en een soort van paal dat eruit steken 
B: 	ja een soort van aan de voorkant zitten een ding met een soort van 
B: 	ja 
B: 	nee 
B: 	dat zijn niet degeen die ik bedoelen 
B: 	oké nee het paal oké 
B: 	zeggen maar je hebben zo het kop en aan de zijkant zitten soort van kegel zo 
B: 	daarbovenop liggen een een langwerpig blok 
B: 	en aan de voorkant steken een driehoek uit waar een soort van paaltje op staat 
B: 	ja precies 
B: 	ja die 
A: 	ja 
A: 	ja dat zijn nummer acht 
B: 	met ja precies 
B: 	E 
B: 	dit zijn weer die vage met dat soort van huis bovenop en wat jij een spaceship vinden 
A: 	ik hebben weer met dat balkje boven op zijn hoofd 
A: 	en links een soort ja dingetje en rechts een staafje met nog wat erbij 
B: 	ja 
B: 	even zoeken waar die zijn 
B: 	E 
A: 	dat zijn nummer één 
B: 	dit zijn weer het spaceship 
A: 	ik hebben die met de balk erbovenop links een raar dinge en rechts een staafje met een raar dinge 
B: 	ja O 
A: 	nummer zestien 
A: 	ja 
A: 	ik hebben die met de balk erboven op zijn hoofd 
A: 	links een dinge rechts een staafje 
