A: 	okee dit zijn ook een emmer en daar zitten een ovaal bol aan de rechterkant en daar steken een vierkant stok doorheen met aan de rechterkant een een schijf en bovenop zitten nog een heel klein uitsteekselt 
A: 	soort ja hoe noemen je dat 
A: 	ja 
B: 	ja okee 
B: 	ja en ook weer een soort lepeltje erin 
B: 	yes 
B: 	nou dat zijn f 
A: 	ja 
A: 	ja veertien 
A: 	dit zijn die met dat rond aan de voorkant met die staaf erdoorheen 
A: 	en dan de aan de plat kant nog een rond 
B: 	dit zijn deze hebben een lepeltje en hebben die staaf ervoor zitten met waar een ei door die door het ei heen gaan 
B: 	ja ja ja 
A: 	ja 
A: 	zestien 
A: 	dit zijn die bol aan de voorkant met de staaf erdoorheen en dat rond aan de zijkant 
B: 	zijn dat de de wcrolhouder 
B: 	n 
B: 	deze hebben de wcrolhouder 
B: 	nee nee nee dit zijn die de die staaf met dat ei erdoor en het lepel 
A: 	ja 
A: 	vijfteen 
B: 	ja dat zijn d 
B: 	dit zijn de wcrolhouder met het lepel 
B: 	ja 
