A: 	ja 
A: 	oké 
B: 	dus nou mogen we praten toch 
B: 	ok het zijn er zeggen maar één met een schijf achter het koje en link steken een staafje uit 
A: 	ja 
A: 	ja 
B: 	ja niet echt een bol zeggen maar maar veel een gewoon één rond vlak en je zien hem maar voor de helft hij zitten er zeggen maar achter verstoppen 
A: 	ja nee dat snapen ik wel 
A: 	dus dan 
A: 	dertien 
B: 	en er steken rechtboven ook nog iets uit 
B: 	hoe bedoelen je er in 
B: 	ja je uitzien aan de linkerkant van het soort van kopje iets uitsteken 
B: 	en achter het kop zien je zeggen maar een half half rond 
B: 	en rechtsboven in het kop zullen je kunnen zeggen steken nog iets uit een soort van ja leeg ballon 
B: 	ja op soort van blok iets in die richting 
B: 	ja 
B: 	ja 
B: 	die verstoppen ja 
B: 	en dan zo'n uitstekend dinge link 
B: 	ja zijn O 
A: 	ja volgens mij zijn we weer met de herhaling bezig want deze dat zijn dat kop met de ja half cirkel aan de achterkant 
A: 	en dan links die die zeshoekig buis en dan dat pluimbje boven en dan die langwerpig ovaal ding aan de onderkant 
B: 	het zijn veranderen ja 
B: 	het zijn zegmaar die met zo'n ballonne eruit en weer zo'n half schijf er achter die er achter verstopt zitten en link steken een dinge uit aan de onderkant zitten dat gek blok 
A: 	ja 
A: 	ja dat zijn acht 
B: 	aan de linkerkant 
B: 	C 
B: 	zegmaar ballonnetje er uit een blok links en half schijf aan de achterkant en dan onder zo'n gek blok waar hij op staat 
B: 	en dan zo'n schijf wat je half zien aan de achterkant en link steken er weer zo'n rond blok uit 
B: 	ja met dat gek blok aan de onderkant 
B: 	aan de linkerkant ja C 
B: 	Jeuj 
A: 	ja dit zijn die met die half cirkel aan de achterkant 
A: 	en dat pluimp 
A: 	en aan de onderkant dat ovaal langgerekt 
A: 	ja 
A: 	die 
A: 	die met die half cirkel daarachter 
A: 	ik zijn even ik kunnen hem niet vinden 
A: 	dat zijn zeven 
A: 	dit zijn die ja die op die standaard die aan de onderkant dat ovale hebben met dat cirkel er half achter en de pluim 
A: 	ja 
