A: 	ja dit zijn met zo ja ik vinden dat op een spijker lijken 
A: 	die zo random in zo'n hou zijn slaan aan de zijkant 
A: 	en dan hebben die nog zo'n rond hier liggen 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja nummer zeven 
B: 	ja 
B: 	ja 
B: 	het zijn een soort ja zijn een soort van spijker zijn het ook weer wat in daarin zitten zeggen maar 
B: 	ja oké 
B: 	dan zijn het L 
A: 	dit zijn die met die spijker 
A: 	en dat rond daarvoor 
B: 	deze staan nee dit zijn een kop met dat dienblaad en dat spijkert in dat oort 
A: 	welk ? die 
A: 	ja 
A: 	nummer één 
B: 	ja even zoeken ja dat zijn C 
A: 	dit zijn die met die rail en die spijker erin 
A: 	ja waar zijn die 
A: 	ja nummer dertien 
B: 	dit zijn die met dat dienblad 
B: 	ja 
B: 	dat zijn A 
B: 	dit zijn met de dienblad 
