A: 	sorry wat bedoelen je ? een vlak 
A: 	ja 
A: 	ja 
A: 	zo'n handva 
A: 	ja 
A: 	ja 
A: 	zo'n ovaal 
A: 	en dan hebben die een soort kegeltje zo'n bol kegeltje die erin staan 
A: 	oké 
A: 	dan zijn dat nummer dertien 
B: 	ik hebben het rood vierkant 
B: 	bij mij hebben die een soort traanvormig afronden uitsteeksel op het bovenste gedeelte 
B: 	daarachter zijn een cirkel die half verscholen zijn 
B: 	lijken op een soort voe te staan 
B: 	en dan hebben die een cilindervormig uitsteeksel 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij denken ik O hij hebben een een een rond erachter toch 
B: 	ja O 
A: 	ja dan komen we weer bij jou beker met dat rond erachter 
A: 	het kegel dat erin steken 
A: 	cilinder en het ovale aan de onderkant 
A: 	ja en dat 
A: 	en dan dat handva 
A: 	ja dat zijn nummer acht 
B: 	ik hebben het de basisvorm daarachter zitten een soort cirkel 
B: 	op een voe 
B: 	met een cilinder of hoekigvormig cilinder uitstekend en dan een soort van nog dat dat ja dat lepel wat je 
B: 	dus de hij staan op een voe 
B: 	en 
B: 	ja en dan 
B: 	ja 
A: 	ja het kop met die op dat ovaal ding staan het rond daarachter het kegel erin en het 
A: 	ja 
B: 	ja C 
A: 	ik zijn hem aan het lepel erin rond erachter en dat dinge 
A: 	yes dat zijn nummer zeven 
B: 	ik hebben degeen op een voe 
B: 	cirkelvorm erachter en dan een soort gek cilinder 
B: 	ja 
A: 	ja maar maar die zijn toen bij volgens mij zijn het het systeempje wel dat dat dat dat dan even blij en als je dan hebben zeggen welk waterpomp ? dan 
A: 	het kop met het roerstaafje het rond aan de achterkant het ovaal voe 
A: 	en het cilinder aan de linkerkant 
B: 	ja dat zijn C 
A: 	oké 
A: 	nou op een geven moment hebben we wel echt zo'n flow zeggen maar ja 
A: 	ja ja 
A: 	ja 
B: 	vol 
