B: 	en liggen liggen liggen er nog een soort los blok 
B: 	ja onderop dan een soort los blok en dan aan de rechterkant twee twee twee 
B: 	plat plat dinget en dan bovenop een kegel die die afgezagen zijn of zo lijken het wel ok dan zijn het I 
A: 	deze vinden ik lijken op een eend 
A: 	want hij hebben een soort van zo'n iste 
A: 	en dat zijn dan de snavel 
A: 	en dan hebben die nog een soort van ja hoe noemen je dat ? een soort van trapezium bovenop 
A: 	oké 
A: 	ja 
A: 	ja ja 
B: 	ja dit zijn ook dat ding met een soort kegel bovenop maar die zijn dan op een geven moment afgezagen dat het plat zijn 
B: 	aan de zijkant hebben je nog die twee balk en dan hebben je onderin nog een dinge en nog een soort ding dat uitsteken 
B: 	ik 
B: 	ik weten welk je bedoelen maar ik zijn hem even aan het zoeken ja die twee dinget nog aan de zijkant en dan een dinge onderop 
B: 	ja dat zijn M 
B: 	van mark 
A: 	dat zijn twee 
A: 	dit zijn weer die eend 
B: 	dit zijn weer ja die piramide die afgezagen zijn of zo en dan die twee plaat die er uitsteken en nog zo'n dinge onderop en dan nog iets aan de zijkant 
B: 	ja 
B: 	dat zijn F 
A: 	die eend zeggen je toch 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn weer die eend 
B: 	ja dit zijn weer die afgezaagd 
B: 	piramide of kegel of weten ik veel wat de naam ervoor zijn en dan weer die twee plaat die hetzelfde zijn onder elkaar ja 
A: 	ja dat zijn zes 
