A: 	oké 
A: 	ik hebben nu een figuur met een soort van klein pluimp bovenop een beetje veel aan de linkerkant 
A: 	en aan de voorkant zitten een bol met een staaf erdoorheen en aan de rechterkant van die staaf zitten weer zo'n plat schijf ertegenaan drukken 
A: 	oké 
B: 	en zitten er aan het einde van die staaf weer een cirkel 
B: 	oké dan zijn het F 
B: 	deze hebben ook die bol met die staaf erdoorheen met een soort cirkel aan het einde 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	dat zijn A 
B: 	die bol met die staaf erdoorheen met die schijf aan het einde 
A: 	deze hebben dat soort van pluimp een beetje link bovenaan en dan vooraan die bol plakken met die staaf erdoorheen en daar nog weer zo'n 
A: 	schijf op geplakt aan de rechterkant 
B: 	dat zijn H 
A: 	even zoeken hoor 
A: 	ja 
A: 	ja dat zijn nummer vijf 
B: 	dit zijn die met die bol met dat staafje erdoorheen en die cirkel aan het einde 
A: 	ik hebben nu die een met dat klein pluimp bovenaan en aan de voorkant die bol met de staaf erdoorheen en daar die schijf rechts op geplakt 
A: 	even zoeken 
A: 	ja 
A: 	dat zijn nummer vijftien 
