B: 	ja 
B: 	F zijn dat bij mij 
A: 	deze hebben weer een uitsteeksel boven een klein 
A: 	en ver hebben die een soort bolle waar een staaf doorheen zitten 
A: 	ja 
A: 	dinge aan het einde 
A: 	dat zijn bij mij vijf 
B: 	deze hebben een soort staar aan de bovenkant en aan de voorkant een bolle met de rechthoek erdoorheen en een schijf aan de rechterkant eraan 
A: 	dit zijn die een met het bollet aan de rechterkant met die staaf erdoorheen en dan dat schijf aan de uitein 
A: 	ja dat zijn bij mij vijf 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	deze hebben weer aan de zijkant de bol met de staaf erdoorheen 
A: 	met dat ding aan het uitein 
B: 	deze zijn met het pluimp en de bol met de rechthoek erdoorheen en de schijf eraan 
A: 	ja 
A: 	even wachten dat zijn nummer vijftien 
B: 	ja 
B: 	dat zijn bij mij H 
B: 	dit zijn met dat staart en die bol met de rechthoek erdoorheen met de schijf eraan 
