A: 	ja zes 
B: 	zitten twee object bovenin 
B: 	één zijn een heel tweedimensioneel klein blok 
B: 	en dat zijn dat rechter figuur , dat link figuur lijken alsof het een heel sierlijk lepeltje zijn 
B: 	wat in vorm veranderen 
B: 	en het hebben een soort van bol op de voorkant 
B: 	staafje aan de linkerkant 
A: 	deze hebben een bal voor op de emmer 
A: 	en dan een balk die recht omhoog gaan bovenop de emmer en link van die balk staan dat penachtig ding 
B: 	ja 
B: 	en een neus ervoor 
B: 	ja 
B: 	K 
A: 	de pen ja vier 
B: 	recht heel klein balkje Bovenin , een sierachtig lepel ernaast 
B: 	rond neus 
B: 	vol 
A: 	dit zijn die met die bal voorop en die pen bovenop 
A: 	ja vijfteen 
A: 	die pen bovenop 
B: 	ja 
B: 	even zoeken waar zijn je 
B: 	ja A 
B: 	twee lepeltje , één klein balkje en een heel sierlijk lepeltje 
B: 	neus 
B: 	ja 
B: 	even kijken 
B: 	H 
