B: 	een rood 
B: 	oké ik hebben er één die hebben een soort van een soort van snijvlak door hem heen 
B: 	ja 
B: 	ja 
B: 	oké 
A: 	ja en dan zo'n soort schoorsteen aan de linkerkant 
A: 	haart ja 
A: 	oké dan zijn het nummer zes 
B: 	ja 
B: 	ja Glijbaan 
B: 	ja precies supergoed 
B: 	oké dat zijn C bij mij 
A: 	dit zijn die een met dat vlak dwars erdoorheen 
A: 	en met die twee sprieet bovenop 
B: 	het zijn weer die snijden worden door zo'n vierkant 
B: 	met een glijbaan 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	ja dwars doorheen 
B: 	yes dat zijn J bij mij 
A: 	dit zijn die een met het vlak dwars doormidd snijden 
A: 	met die twee ding bovenop 
B: 	weer die met dat vierkan dat hem doorsnijden 
B: 	die erdoorheen gaan 
B: 	en de glijbaan 
B: 	yes 
A: 	ja dat zijn nummer negen 
A: 	nummer negen 
B: 	oké 
B: 	ja N bij mij 
A: 	de een met de balk dwars door de midden met de twee twee haart 
