B: 	oké 
B: 	ik hebben ja ik noemen het een theekop 
B: 	die een vierkant scherm erdoorheen hebben zitten alleen dan onder het midden 
B: 	ja horen aan de voorkant hebben die dan nog wel zo'n rond staaf die laten maar zeggen als een neus eruit komen 
B: 	en aan de linkerkant hebben die een staaf met een hoekje erin 
B: 	en bovenop hebben die twee ja voelsprietjes kunnen je het noemen 
B: 	ja iets onder het midden zitten een vierkant erdoorheen laten maar zeggen 
B: 	oké 
A: 	ja 
A: 	dan 
A: 	ja en dan één er nog aan de zijkant staaf ja ja nummertje zes 
A: 	ja dat zijn lijk dat zijn een plateau wat net niet onderin maar iets er boven doorheen boort en eigenlijk met zo'n glijbaan toet er ook voor en dan twee omhoog ja 
B: 	erdoorheen 
B: 	ja 
B: 	ja 
B: 	ja daar kunnen je een oké prima zijn dat de glijbaan 
B: 	C 
B: 	de glijbaan 
B: 	ja 
B: 	met het met het vierkant aan de onderkant erdoorheen 
A: 	ja ok 
A: 	ja 
A: 	ok dat zijn dan nummertje dertien 
B: 	ja 
B: 	hier J 
A: 	ja dit zijn eigenlijk met die glijbaan met die plateau 
A: 	en met dat bovenop ja 
B: 	dit zijn de glijbaan 
B: 	met het vierkant erdoorheen 
A: 	ja 
A: 	ja ja dat zijn dan nummertje negen 
A: 	ja dit zijn die met die glijbaan 
