B: 	ik hebben er nou degeen die ook weer met een plank zijn doorsneden alleen dan boven het midden 
B: 	met twee van die flubbelt aan de plank ook nog 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	met de poot de plank ja 
B: 	P 
A: 	ja 
A: 	ja 
A: 	jaja 
A: 	ja 
A: 	dat zijn zestien 
B: 	dit zijn met het bak bovenop die plank die erdoorheen gaan 
B: 	met die flubbelt aan de plank 
B: 	ja plankhouder zijn goed plankhouder 
A: 	ja dit zijn weer met dat ja ik noemen het een een bijzettafel met twee van die voorpot en dat bak 
A: 	er bovenop en dat dinge erachter 
A: 	dat je zeggen maar een tafel hebben die door de beker heen gaan 
A: 	waar alleen twee voorpot opstaan 
A: 	ja 
A: 	ja 
B: 	met die met die met poo aan de 
B: 	ja 
B: 	ja 
B: 	N 
B: 	dit zijn de plank met het schaaltje boven op de plank 
B: 	die door het kop heen gaan 
A: 	het bak ja 
A: 	ja dat zijn veertien voor mij 
B: 	ja ja 
B: 	D 
A: 	dit zijn die met die half tafel die er doorheen gaan met die twee poo aan de voorkant en dat kommet bovenop 
A: 	en dat slier achterop 
A: 	dat zijn nummer tien 
A: 	dit zijn met dat tafel dat door de kop heen gaan twee voorpoot en een kommetje er op en dat sprie er achter 
