B: 	bij mij staan hij op een groot vierkant rechthoek 
B: 	komen een soort van gebobbeld stang door de emmer 
B: 	rond voorop 
A: 	zo'n soort spiraalachtig iets 
A: 	okee dat zijn nummer negen 
B: 	ja wat snel 
B: 	ja en hij zijn op dat platform 
B: 	ja 
B: 	I 
B: 	deze hebben de staaf met kralen door de achter de emmer heen en een rond voorop 
B: 	ja 
B: 	okee o 
B: 	deze hebben de staal met kra erachter 
B: 	e 
A: 	ja dit zijn het beker met het spiraal aan de achterkant 
A: 	die op een plateau zitten 
A: 	op een soort vierkant bord 
A: 	en zo'n soort ronddraaistaafje wat aan de achterkant zitten 
A: 	met een soort cirkel aan de voorzijde 
A: 	die op zo'n soort vierkant treetje of niet treetje maar soort 
A: 	ja dat 
A: 	ja 
A: 	ja dat zijn nummer acht 
A: 	het spiraal achter het beker 
A: 	of door het beker heen 
A: 	ja 
A: 	nummer dertien 
A: 	spiraal achter het beker 
