A: 	ja 
A: 	een soort van half lampenkap 
A: 	ja 
A: 	oké dat zijn acht 
B: 	deze vinden ik het het kut 
B: 	even kijken 
B: 	er liggen zeggen maar een balk op 
B: 	een langwerpig balk 
B: 	bovenop 
B: 	en 
B: 	ja ja omdraaien zeggen maar op zijn op de kop 
B: 	ja 
B: 	ja ik weten niet wat het 
B: 	ja dat lijken een beetje op een schepje 
B: 	ja 
A: 	hier kunnen we niet zoveel van maken dat zijn die met dat huis rechthoekig ding bovenop 
A: 	even zoeken dat zijn één 
B: 	ja 
B: 	E 
A: 	oké dit zijn die stom met dat huis bovenop of dat gebouw bovenop 
B: 	weer die balk en dan die die scoop hoe heten dat die die beker op de kop en die schep 
A: 	zestien 
B: 	ja die 
B: 	waar staan die 
B: 	ja nou vinden ik hem heel makkelijk 
B: 	ah hier 
B: 	E 
A: 	dit zijn die met het gek gebouw 
B: 	weer die beker op de kop en die die schep erbij 
B: 	ja 
B: 	O 
