B: 	oké even zien ja het lijken op een theekop met één 
A: 	ja 
B: 	laten maar zeggen een rod 
B: 	een één één één een een rond staaf 
B: 	die aan de linkerkant erin steken 
B: 	een rond aan de achterkant erop plakken en een 
A: 	o ja er zitten aan de linkerkant een soort buisachtig dinge dan aan de achterkant een rond en dan er in naar de rechterkant steken een soort 
B: 	een soort ja lepeltje alleen dan niet een lepelvorm maar de uiteinde van een lepel aan de rechterkant die erin steken 
A: 	zo'n omgekeerd druppel uit 
A: 	ok ja 
B: 	ja 
A: 	dat zijn nummer dertien bij mij 
B: 	ja 
B: 	die zijn niet rond 
B: 	nee precies 
A: 	en daar onder zo'n soort standaard 
B: 	en dan hebben hij onder ook nog een soort steunsel waar die op leunlen 
A: 	nog ja nummer dertien 
B: 	ja 
A: 	o 
A: 	op geel 
A: 	maar hoe hoe weten ze o dat horen zij welk nummer ik zeggen ok dertien 
B: 	ja met een lepeltje en dan aan de linkerkant dat dingetje en onderin de badkuip 
B: 	O 
B: 	ja nou deze zijn ik weten niet veel hoe we hem hebben noemen maar met dat rond achterop plakken 
A: 	ja dit dit zijn volgens mij de één die we hebben hebben die vinden ik op een drinkbeker lijken met zo'n 
B: 	ja ik noemen het theekop 
B: 	ja 
A: 	zo'n standaard er onder met zo'n 
B: 	theekopje 
B: 	prima 
A: 	ja zo'n lepeltje zo'n dinge naar de zijkant en zo'n rond die er half achter zitten 
A: 	ja 
B: 	ja ja ja met dat rond achterop plakken 
B: 	C 
A: 	ja ja ja dat zijn 
A: 	ja dat zijn nummer acht 
B: 	dit zijn het gewoon het theekop 
B: 	het normaal theekop met dat rond achterop plakken 
B: 	alleen de indiaan hebben een neus en het theekop niet 
B: 	ja 
B: 	ja oké dat kunnen ook 
B: 	ja 
B: 	ja ik ik zullen zo zeggen ik drink zo laat maar zeggen 
B: 	als één als een mongool 
B: 	ja met het rond achterop 
B: 	C 
B: 	dat zijn het 
B: 	volgens mij niet maar 
B: 	we shall see 
B: 	Hallo 
A: 	dit zijn die eerst die we hebben hebben met dat onderstel en dat lepeltje met dat rond op de achtergrond 
A: 	dat zijn nummer zeven 
A: 	dit zijn die één die we hebben met die standaard het lepel erin rond op de achtergrond 
A: 	ok 
A: 	ja ik willen zeggen ja 
