B: 	oké ik hebben het rood scherm 
B: 	rood dinge 
B: 	ik vinden het een beetje op een steelpan lijken 
B: 	met zo'n plat rond aan de achterkant 
B: 	ja soort van lepel 
A: 	oké 
B: 	ja 
A: 	jij zien als het goed zijn een rood vierkant 
A: 	een kegel 
A: 	even kijken aan de zijkant een cirkel 
A: 	staan er nog veel op dan alleen die kegel 
A: 	oké want ja ik zien er één die daar wel op lijken 
A: 	ja nou inderdaad een één een bol die aan de zijkant zitten 
A: 	aan de rechterkant van het plaat 
A: 	en dan aan de linkerkant steken inderdaad iets uit 
A: 	en dan aan de bovenkant hebben je een kegel maar ik inzien ook nog een een rechthoekig ding wat naast die kegel staan wat omhoogsteekken 
A: 	nou dat die zien ik niet 
A: 	misschien liggen het aan mij maar 
A: 	zo dat die zitten die cirkel achter het kop 
A: 	ah oké 
A: 	right 
A: 	dan zijn het nummer dertien 
A: 	ja dus nummer dertien 
A: 	ja 
B: 	een rond aan de achterkant 
B: 	daarboven 
B: 	en dan zo'n uitstulpsel 
B: 	aan de zijkant nog iets 
B: 	ja 
B: 	dat zijn O 
B: 	ja dat blok 
B: 	ik hebben dat met dat blok eronder 
A: 	nou deze hebben aan de linkerkant een cilinder er eraan zitten 
A: 	aan de aan de onderkant zitten een soort één nou ja er zitten een cirkel achter deze hebben we inderdaad eerder al 
A: 	ja 
A: 	ja precies 
A: 	waar we vorig keer zoveel moeite mee hebben 
B: 	ja dat zijn C 
B: 	met dat blok 
A: 	ja de cirkel daarachter zeggen maar 
A: 	ja 
A: 	ja 
A: 	en dan aan de linkerkant nog die cilinder 
A: 	dat zijn acht voor mij 
B: 	C 
B: 	vinden het wel leuk 
A: 	ja deze hebben die cirkel daarachter en de en en de cilinder aan de linkerkant 
A: 	yes 
A: 	ja 
A: 	die twee kegel erop of 
A: 	even kijken 
A: 	en dan de cirkel erachter of 
A: 	ja precies en dan links ook nog een cilinder 
A: 	yes oké dat zijn zeven 
A: 	oké dit zijn weer de cirkel daarachter 
A: 	en links de cilinder 
A: 	nou yes 
A: 	Hallo 
A: 	yes 
