B: 	ah ja ik weten welk je bedoelen 
B: 	M 
A: 	ik hebben dat kop waarop je twee vierkant hebben bovenop maar die zijn die zijn draaien 
A: 	dus het zijn geen plat vierkant maar ze staan rechtop 
A: 	dus op het kop bovenin zo twee vierkant 
A: 	en daar komen nog wat dinget uit 
A: 	en hij hebben ook een neusje en zo'n soort sik 
A: 	ja hij hebben hier iets uit en dan hier zo'n zo'n zo'n sik 
A: 	sik die zo naar voren gaan 
A: 	ja aan de onderkant 
A: 	onderkant van het kop 
B: 	ik vinden dit een beetje een kraan met een wasbak 
B: 	er zitten een soort van afvoer onder en aan de zijkant het zijn twee dezelfde ding er zitten een soort van potlood die er vooruit uit steken 
B: 	ja 
A: 	ja met dat sik oké dat zijn nummer negen 
A: 	die met dat sik 
B: 	ja dat vinden ik wasbak met een kraan ja 
B: 	H 
A: 	ja dat zijn nummer elf 
B: 	ja dit zijn weer die waar ik zeggen een wasbak met een kraan 
B: 	met een potlood aan de voorkant 
B: 	ja 
A: 	die met dat sik 
B: 	ja D 
B: 	ik moeten hem even zoeken 
A: 	ja dat zijn nummer veertien 
B: 	ja de de soort van wasbak met het vierkant dat eruit steken aan de bovenkant 
