A: 	oké 
A: 	ja 
A: 	Ah nummer tien 
B: 	deze hebben een vierkant plateau aan de onderkant 
B: 	ja 
B: 	ja van die antenne aan de zijkant ja 
B: 	ja 
A: 	een bak die of die staan op een vierkant 
A: 	hij worden doorboren met door eigenlijk een soort van kra 
A: 	en een zuignap aan de voorkant 
B: 	ja 
B: 	dat zijn ja een cirkel aan de voorkant 
B: 	ja E 
A: 	nummer drie 
B: 	dit zijn de enig met die plateau aan de onderkant 
B: 	ja 
A: 	de bak die leunlen op de plaat met de kraal 
A: 	met de kra aan de bovenkant 
B: 	onderop 
B: 	ja ja 
B: 	dat zijn P 
A: 	nummer twee 
A: 	de bak met de krael , die staan op het vierkant 
B: 	dit zijn die vierkant eronder plateau 
B: 	ja 
B: 	O 
