A: 	en zo'n soort van confettislinger soort van achter 
A: 	en zo'n plateaut eronder 
A: 	ja 
A: 	nummer vijf zijn dat 
B: 	nou zijn ik weer lol ok dit zijn zeggen maar het staan op een vierkan staan dat bolle en 
B: 	ja er staan ook zeggen maar op dat ja dat dat zeggen maar standaard bollet zijn nog een rond voorop en achter zijn een soort van slinger 
B: 	ja 
B: 	ok bij mij A dan en ja ja 
A: 	oké 
A: 	ik hebben die met waar die op dat plateaut staan met die soort gek slinger erachter 
A: 	ja 
B: 	o ja dat zijn J bij mij 
B: 	ok 
B: 	nou wel klikken 
A: 	ja 
A: 	en het schotelt aan de voorkant 
A: 	nummer elf 
A: 	oké 
A: 	dit zijn weer die op dat plateaut staan met dat schotelt aan de voorkant en die gek freubelt aan de achterkant 
B: 	op dit zijn de pan met op het plateau met de slinger 
B: 	ok bij mij D 
A: 	oké 
A: 	nummer negen weer 
B: 	o die P 
A: 	deze zijn met dat plateau en dan met die freubelt erachter die confettislingerdinge 
B: 	o dit zijn weten het tafel met slinger zeggen maar 
B: 	ok bij mij K 
B: 	ok top 
B: 	o daar L 
B: 	ok 
