A: 	ja 
A: 	ja 
B: 	het zien er een beetje uit alsof er worden roeren in het komme 
A: 	staan er twee streepjes op dat dinge 
B: 	en het staat op een 
B: 	ja het hebben een soort van onderzetter iets en een steel als handvat 
A: 	even kijken hoe zijn het platformp met twee poo 
B: 	en een cirkel die erachter tegenaan zijn plakken dus je uitzien de cirkel niet helemaal maar je weten wel dat daar een plat cirkel zitten 
A: 	ook niet 
A: 	ja 
B: 	ja 
A: 	je hebben zeggen maar de hoofdbak bij elk plaat 
B: 	ja 
B: 	wachten je moeten volgens mij eerst de letter zeggen 
B: 	ja dan een nummer 
A: 	ja okee 
A: 	ja 
B: 	nee op hier 
A: 	ja 
B: 	maken niet uit welk knop 
A: 	ja 
A: 	ja 
B: 	hebben je een toetsenbord 
A: 	ja okee dan weten ik welk het zijn 
B: 	ja 
A: 	dat zijn nummer vijf 
A: 	ja volgens mij moeten ik hem gewoon noemen en dan drukken 
A: 	ja dat zijn nummer vijf 
A: 	nou de hoofdvorm staan op een op een plateau 
A: 	link van de hoofdvorm hebben je weer een rond staaf die uitsteken 
A: 	links achter de hoofdvorm hebben je één rond cirkeltje die daaraan vastgeplakt zitten 
A: 	en rechts bovenop de ronde op bovenop de hoofdvorm hebben je een soort van ja 
A: 	ja hoe noemen je zoiets een 
A: 	ja een kegel op de kop inderdaad 
A: 	ja 
A: 	ja en rechtsboven hebben je dat 
A: 	even kijken 
A: 	ja die kegel op zijn kop bedoelen je 
A: 	ja 
A: 	okee nummer zes 
B: 	ja 
B: 	ja 
B: 	dan zijn het n 
A: 	dit zijn de hoofdvorm die op een bevestigingsstuk staan met een rond vorm erachter en link uitstekend een 
A: 	ja nummer vier 
B: 	dit zijn de beker waar ook waar de onderkant een beetje anders zijn 
B: 	een soort van plateau maar die er dan aan vastzitten 
B: 	een lepeltje erin 
B: 	staafje aan de linkerkant 
B: 	en een plat cirkel aan de rechterkant die je niet nee achter een beetje aan de linkerkant die je niet helemaal kunnen zien 
A: 	dit zijn de hoofdvorm die op dat plateaut staan of tenminste zo'n heel klein plateaut met een cirkel er aan vastgeplakt aan de achterkant 
B: 	ja 
B: 	dat zijn h 
B: 	even kijken met een ander onderkant een lepeltje erin 
B: 	een cirkel aan de achterkant aan de linkerzijde staan iets 
B: 	ja 
B: 	ja dat zijn o 
