A: 	zo 
A: 	oké dan mogen ik gaan omschrijven 
A: 	nou het zijn wel mooi dat we allebei in koffie en theebeker denken 
A: 	er zijn een een lepeltje dat mooit schuin afhangen 
A: 	en aan de zijkant zitten een bol 
A: 	en door die bol heen zitten een staaf met een soort zuignap aan de rechterkant 
A: 	oké 
B: 	ja dan weten ik al welk het zijn ja 
B: 	en hebben die ook zo zo'n haar op de achterkant en 
B: 	ja 
B: 	ja ja ja ja ja 
B: 	dan zijn dat bij mij F 
B: 	de neus neuspiercing 
B: 	even kijken dat zijn A 
A: 	ja 
A: 	ja dat zijn duidelijk dat zijn nummer vijf 
B: 	dit zijn de neuspiercing 
B: 	de neuspiercing waar zijn je 
B: 	H 
A: 	ei aan de voorkant met spijker dan wel zuignap 
B: 	de neuspiercing 
A: 	een lepeltje 
A: 	lepeltje bovenkant 
A: 	nummer vijf 
A: 	ei aan de voorkant met spijker en zuignap erdoorheen 
A: 	lepel aan de bovenkant 
A: 	even kijken check 
A: 	dat zijn nummer vijftien 
