A: 	oké 
A: 	ik hebben dat plaa en het lijken een beetje alsof die aan de rechterkant een neus hebben met daar een een paal doorheen 
A: 	dus zo'n rond en daar 
A: 	zitten nog een klein tuu zijn een beetje zien een beetje uit als een inboorling zeggen maar met een neusring 
A: 	oké 
B: 	oké 
B: 	dus weer met die schijf erachter en dat ding erdoorheen 
B: 	ja 
B: 	oké 
B: 	G 
B: 	dit zijn de neus met de piercing 
A: 	de inboorling 
A: 	nummer vijf 
A: 	die inboorling 
B: 	oké 
B: 	A 
A: 	dat zijn nummer vijf 
B: 	de piercing 
B: 	neus met de piercing 
A: 	met de neusring 
A: 	inboorling die ja 
B: 	H 
A: 	ja nummer vijftien 
B: 	een neus met de piercing 
