A: 	deze hebben namelijk soort van nee die hebben gewoon twee balk aan de rechterkant twee gelijksoortig balk 
A: 	hij hebben een soort staar aan de linkerkant onderaan 
A: 	ja en een hoed op de bovenkant 
B: 	ja 
B: 	ja ik denken dat ik wel weten welk je bedoelen 
B: 	ja ja 
B: 	ik gaan voor p 
A: 	en onderaan een staart zijn dat die 
A: 	dat zijn vijfteen 
A: 	ja dit zijn veel zijn veel de space shuttle die ik denken 
A: 	twee rechts balk dezelfde aan de rechterkant 
A: 	zo'n staart en ook weer zo'n ja bakje of wat zijn het aan de bovenkant omgekeerd 
A: 	twee 
A: 	vooral de twee identiek streepjes naar rechts 
A: 	ja dat hoed ja hoedje 
A: 	dat bedoelen ik 
B: 	nou deze die zoals jij hem omschrijven hebben hij bovenop hebben hij een soort driehoekje die afkapten zijn 
A: 	ja nummer drie 
B: 	aan de zijkant rechts twee la 
B: 	en aan de ander kant een een haak naar links toe en weten ik veel twee armp een armpje 
B: 	ik weten het niet 
B: 	ja 
A: 	twee balk dezelfde aan de rechterkant met weer dat hoedje staar 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	gaan ik voor g 
A: 	waar zijn die 
A: 	ik weten welk je bedoelen 
A: 	ja 
A: 	twaalf 
B: 	dan de driehoek die afkapten zijn aan de bovenkant 
B: 	aan de zijkant twee la 
B: 	en haakvormig uitstekel onderaan 
B: 	ja 
B: 	dat zijn e 
B: 	afgekapte pyramide 
B: 	met la aan de aan de de rechterkant twee 
B: 	haakvormig dinge aan de linkerkant 
