B: 	oké deze zijn best wel klein hij hebben twee soort ding aan de zijkant laag en een balk bovenop 
B: 	en hij hebben nog aan de voorkant iets waar ook nog een pin uit komen of zo 
B: 	ja die zijn heel simpel 
B: 	nee 
A: 	ja 
A: 	zo'n zo'n zo'n kop of zo aan de zijkant of niet 
A: 	ja 
A: 	oké dan hebben ik die al 
A: 	wachten voor de zekerheid 
A: 	ook aan de zijkant hebben zeggen maar zo'n ja ik jij denken ik 
A: 	oké dan wel 
A: 	achten 
B: 	ja en alleen maar zo twee van die ding aan de zijkant en één 
B: 	oké dat zijn E 
B: 	ik hebben die heel compact met zo de balk op de bovenkant en twee van die ding aan de zijkant en één zo'n 
B: 	ja 
B: 	dat zijn E 
A: 	de dat balkje boven en dan zo'n 
A: 	een vending machine 
A: 	dat ding 
B: 	ik hebben die heel compact met die balk aan de bovenkant 
B: 	en zo die twee klein uitsteeksel 
A: 	ja ja ja 
A: 	waar zijn die 
A: 	één 
B: 	ja even zoeken 
B: 	ja dat zijn O 
A: 	de ja die een die jij lastig vinden 
A: 	met dat balk en dat schep 
A: 	en omgekeerd beker zeggen maar 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	de ja de schep en dat omgedraaide beker en dat balk 
A: 	wat jij eerst moeilijk vinden 
