B: 	ik vinden dit op een dienblad lijken zeggen maar twee van die paalt zo 
B: 	ja ja 
B: 	B 
A: 	ja 
A: 	dat snapen ik wel ja 
A: 	ja er zitten er zitten zeggen maar een bak nog op het tafel een soort van 
A: 	ja 
A: 	nee oké hebben ik hem 
A: 	dat zijn nummer zestien 
B: 	dit zijn dat dienblad met dat bak soep 
A: 	dit zijn het picknick tafeltje 
B: 	ja vinden N 
B: 	het zijn het dienblad met zijn soep 
A: 	ja 
A: 	even daar 
A: 	nummer veertien 
B: 	D 
A: 	de picknicktafel 
A: 	ja zijn nummer tien 
A: 	de picknicktafel 
A: 	staan rechts 
A: 	in een 
A: 	ja 
